,file type,hash(SHA256),Vt_link,File_Exten
68,"ISO-8859 text, with very long lines, with CRLF line terminators",9e048ddda69c23d3591d72787c9b12a98f53b3c446acfb3b839c8636c52062e1,https://www.virustotal.com/gui/file/9e048ddda69c23d3591d72787c9b12a98f53b3c446acfb3b839c8636c52062e1,Text
69,"C source, ASCII text",203bfda6e3dd5f4d34935a234c049fc147e6cee0dcb15971ccbadbf7c6f2da4a,https://www.virustotal.com/gui/file/203bfda6e3dd5f4d34935a234c049fc147e6cee0dcb15971ccbadbf7c6f2da4a,JavaScript
70,"DOS executable (COM, 0x8C-variant)",ed5469eed11bca30a004908e61318bddd77b19f17aed97bfe6dfa9970b07cc10,https://www.virustotal.com/gui/file/ed5469eed11bca30a004908e61318bddd77b19f17aed97bfe6dfa9970b07cc10,DOS EXE
71,"DOS/MBR boot sector MS-MBR, disk signature 0xaff7aff7; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 36965502 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 36965565, 41174595 sectors",867ad5fa32b726843dd823ee2e53c231b238ce34730b9655c5470e7a4bc4f06e,https://www.virustotal.com/gui/file/867ad5fa32b726843dd823ee2e53c231b238ce34730b9655c5470e7a4bc4f06e,unknown
72,"HTML document, Non-ISO extended-ASCII text, with very long lines, with CRLF, LF line terminators",07f7233d7f4723ac6671fab1f4bae4c8576edeb3d89492bd85ff1d8ee7541552,https://www.virustotal.com/gui/file/07f7233d7f4723ac6671fab1f4bae4c8576edeb3d89492bd85ff1d8ee7541552,HTML
73,"DOS/MBR boot sector MS-MBR, disk signature 0x369108b5; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 58605057 sectors",3c7c8a8fb2ddd0c6eaac0d80f3ff5960aabad0f7e75c6ab3677c673cf6273c18,https://www.virustotal.com/gui/file/3c7c8a8fb2ddd0c6eaac0d80f3ff5960aabad0f7e75c6ab3677c673cf6273c18,unknown
74,"DOS batch file, ASCII text",05903da49e6ae46f60d09505fb9779cb1850ddf67d2cdc514b7350a557018fb8,https://www.virustotal.com/gui/file/05903da49e6ae46f60d09505fb9779cb1850ddf67d2cdc514b7350a557018fb8,unknown
75,"PE32 executable (GUI) Intel 80386, for MS Windows",5f63613bf68c4ba9c6152e91f70c028baa95d46e3f33629a4bf23db0cc9eeff8,https://www.virustotal.com/gui/file/5f63613bf68c4ba9c6152e91f70c028baa95d46e3f33629a4bf23db0cc9eeff8,Win32 EXE
76,"Linux-Dev86 executable, headerless",06e7f8d18ac403a35bb5f7de2f2dec6e7fd17e14bce434bb3acdf1f5abfbe1db,https://www.virustotal.com/gui/file/06e7f8d18ac403a35bb5f7de2f2dec6e7fd17e14bce434bb3acdf1f5abfbe1db,unknown
77,"ASCII text, with very long lines, with no line terminators",717a95863ecac78788479ceba4fcb8d6ef64c10c8cfbad835e172fc94f01289f,https://www.virustotal.com/gui/file/717a95863ecac78788479ceba4fcb8d6ef64c10c8cfbad835e172fc94f01289f,Text
